-123.0	38.2	0.000320503	0
-123.0	38.1	0.000199131	0
-123.0	38.0	0.000218358	0
-123.0	37.9	0.000185424	0
-123.0	37.8	0.000182695	0
-123.0	37.7	0.000175562	0
-123.0	37.6	0.000161675	0
-123.0	37.5	0.000141581	0
-123.0	37.4	0.000118038	0
-123.0	37.3	9.45E-05	0
-123.0	37.2	7.39E-05	0
-123.0	37.1	5.77E-05	0
-123.0	37.0	4.59E-05	0
-123.0	36.9	3.74E-05	0
-123.0	36.8	3.10E-05	0
-123.0	36.7	2.57E-05	0
-123.0	36.6	2.09E-05	0
-123.0	36.5	1.65E-05	0
-123.0	36.4	1.27E-05	0
-123.0	36.3	9.77E-06	0
-123.0	36.2	7.67E-06	0
-123.0	36.1	6.31E-06	0
-123.0	36.0	5.43E-06	0
-123.0	35.9	4.75E-06	0
-123.0	35.8	4.06E-06	0
-123.0	35.7	3.29E-06	0
-123.0	35.6	2.48E-06	0
-123.0	35.5	1.73E-06	0
-123.0	35.4	1.10E-06	0
-123.0	35.3	6.45E-07	0
-123.0	35.2	3.51E-07	0
-123.0	35.1	1.84E-07	0
-123.0	35.0	1.03E-07	0
-123.0	34.9	7.23E-08	0
-123.0	34.8	6.51E-08	0
-123.0	34.7	6.59E-08	0
-123.0	34.6	6.60E-08	0
-123.0	34.5	6.16E-08	0
-123.0	34.4	5.30E-08	0
-123.0	34.3	4.15E-08	0
-123.0	34.2	2.95E-08	0
-123.0	34.1	1.91E-08	0
-123.0	34.0	1.13E-08	0
-123.0	33.9	6.05E-09	0
-123.0	33.8	2.95E-09	0
-123.0	33.7	1.31E-09	0
-123.0	33.6	5.27E-10	0
-123.0	33.5	1.93E-10	0
-123.0	33.4	6.44E-11	0
-123.0	33.3	1.87E-11	0
-123.0	33.2	3.02E-12	0
-122.9	38.2	0.000398737	0
-122.9	38.1	0.000330951	0
-122.9	38.0	0.000290682	0
-122.9	37.9	0.000241854	0
-122.9	37.8	0.000238796	0
-122.9	37.7	0.000229491	0
-122.9	37.6	0.0002115	0
-122.9	37.5	0.000186199	0
-122.9	37.4	0.000157312	0
-122.9	37.3	0.000129047	0
-122.9	37.2	0.000104599	0
-122.9	37.1	8.53E-05	0
-122.9	37.0	7.09E-05	0
-122.9	36.9	6.00E-05	0
-122.9	36.8	5.10E-05	0
-122.9	36.7	4.28E-05	0
-122.9	36.6	3.50E-05	0
-122.9	36.5	2.77E-05	0
-122.9	36.4	2.15E-05	0
-122.9	36.3	1.66E-05	0
-122.9	36.2	1.31E-05	0
-122.9	36.1	1.08E-05	0
-122.9	36.0	9.32E-06	0
-122.9	35.9	8.14E-06	0
-122.9	35.8	6.95E-06	0
-122.9	35.7	5.63E-06	0
-122.9	35.6	4.25E-06	0
-122.9	35.5	2.96E-06	0
-122.9	35.4	1.90E-06	0
-122.9	35.3	1.12E-06	0
-122.9	35.2	6.19E-07	0
-122.9	35.1	3.39E-07	0
-122.9	35.0	2.07E-07	0
-122.9	34.9	1.62E-07	0
-122.9	34.8	1.57E-07	0
-122.9	34.7	1.65E-07	0
-122.9	34.6	1.67E-07	0
-122.9	34.5	1.57E-07	0
-122.9	34.4	1.35E-07	0
-122.9	34.3	1.06E-07	0
-122.9	34.2	7.55E-08	0
-122.9	34.1	4.90E-08	0
-122.9	34.0	2.89E-08	0
-122.9	33.9	1.55E-08	0
-122.9	33.8	7.59E-09	0
-122.9	33.7	3.37E-09	0
-122.9	33.6	1.36E-09	0
-122.9	33.5	5.01E-10	0
-122.9	33.4	1.67E-10	0
-122.9	33.3	4.86E-11	0
-122.9	33.2	8.10E-12	0
-122.8	38.2	0.000322416	0
-122.8	38.1	0.000405082	0
-122.8	38.0	0.000425849	0
-122.8	37.9	0.000308744	0
-122.8	37.8	0.000305586	0
-122.8	37.7	0.000294268	0
-122.8	37.6	0.000272191	0
-122.8	37.5	0.00024182	0
-122.8	37.4	0.000207926	0
-122.8	37.3	0.000175352	0
-122.8	37.2	0.000147399	0
-122.8	37.1	0.000125122	0
-122.8	37.0	0.000107715	0
-122.8	36.9	9.34E-05	0
-122.8	36.8	8.05E-05	0
-122.8	36.7	6.80E-05	0
-122.8	36.6	5.57E-05	0
-122.8	36.5	4.42E-05	0
-122.8	36.4	3.44E-05	0
-122.8	36.3	2.66E-05	0
-122.8	36.2	2.12E-05	0
-122.8	36.1	1.76E-05	0
-122.8	36.0	1.52E-05	0
-122.8	35.9	1.33E-05	0
-122.8	35.8	1.13E-05	0
-122.8	35.7	9.16E-06	0
-122.8	35.6	6.92E-06	0
-122.8	35.5	4.84E-06	0
-122.8	35.4	3.12E-06	0
-122.8	35.3	1.87E-06	0
-122.8	35.2	1.06E-06	0
-122.8	35.1	6.13E-07	0
-122.8	35.0	4.12E-07	0
-122.8	34.9	3.56E-07	0
-122.8	34.8	3.67E-07	0
-122.8	34.7	3.91E-07	0
-122.8	34.6	3.98E-07	0
-122.8	34.5	3.74E-07	0
-122.8	34.4	3.22E-07	0
-122.8	34.3	2.53E-07	0
-122.8	34.2	1.81E-07	0
-122.8	34.1	1.17E-07	0
-122.8	34.0	6.95E-08	0
-122.8	33.9	3.74E-08	0
-122.8	33.8	1.83E-08	0
-122.8	33.7	8.15E-09	0
-122.8	33.6	3.30E-09	0
-122.8	33.5	1.21E-09	0
-122.8	33.4	4.07E-10	0
-122.8	33.3	1.18E-10	0
-122.8	33.2	2.03E-11	0
-122.7	38.2	0.000375057	0
-122.7	38.1	0.000370056	0
-122.7	38.0	0.000456121	0
-122.7	37.9	0.000511132	0
